ZIP	Name	Rate
563784870	State, Stearns, Sauk Centre	7.625
563784871	State, Todd	7.375
563784872	State, Stearns, Sauk Centre	7.625
563784873	State, Todd	7.375
563784876	State, Todd	7.375
563784877	State, Stearns, Sauk Centre	7.625
563784878	State, Todd	7.375
563784880	State, Todd	7.375
563784881	State, Stearns, Sauk Centre	7.625
563784882	State, Stearns	7.125
563784884	State, Stearns, Sauk Centre	7.625
563784886	State, Stearns, Sauk Centre	7.625
563784887	State, Todd	7.375
563784888	State, Stearns	7.125
563784889	State, Stearns, Sauk Centre	7.625
563784890	State, Stearns, Sauk Centre	7.625
563784891	State, Stearns	7.125
563784892	State, Stearns	7.125
563784893	State, Todd	7.375
563784898	State, Todd	7.375
563784899	State, Stearns, Sauk Centre	7.625
563784900	State, Todd	7.375
563784905	State, Todd	7.375
563784906	State, Stearns, Sauk Centre	7.625
563784907	State, Todd	7.375
563784908	State, Todd	7.375
563784909	State, Stearns	7.125
563784910	State, Todd	7.375
563784912	State, Todd	7.375
563784913	State, Stearns, Sauk Centre	7.625
563784914	State, Todd	7.375
563784915	State, Todd	7.375
563784916	State, Stearns, Sauk Centre	7.625
563784917	State, Todd	7.375
563784918	State, Todd	7.375
563784919	State, Stearns, Sauk Centre	7.625
563784920	State, Todd	7.375
563784921	State, Stearns, Sauk Centre	7.625
563784922	State, Todd	7.375
563784923	State, Todd	7.375
563784924	State, Stearns	7.125
563784925	State, Todd	7.375
563784938	State, Todd	7.375
563784939	State, Stearns	7.125
563784940	State, Todd	7.375
563784942	State, Todd	7.375
563784943	State, Stearns	7.125
563784944	State, Todd	7.375
563785400	State, Todd	7.375
563788100	State, Stearns	7.125
563788108	State, Stearns	7.125
563788109	State, Stearns, Sauk Centre	7.625
563788110	State, Stearns	7.125
563788113	State, Stearns	7.125
563788114	State, Stearns, Sauk Centre	7.625
563788115	State, Stearns	7.125
563788132	State, Stearns	7.125
563788133	State, Todd	7.375
563788134	State, Stearns	7.125
563788219	State, Stearns	7.125
563788220	State, Todd	7.375
563788221	State, Stearns	7.125
563788226	State, Stearns	7.125
563788227	State, Stearns, Sauk Centre	7.625
563788228	State, Stearns, Sauk Centre	7.625
563788229	State, Stearns	7.125
563788246	State, Stearns	7.125
563788247	State, Stearns, Sauk Centre	7.625
563788248	State, Stearns	7.125
563788305	State, Stearns	7.125
563788306	State, Stearns, Sauk Centre	7.625
563788307	State, Stearns	7.125
563788336	State, Stearns	7.125
563788337	State, Todd	7.375
563788338	State, Todd	7.375
563788339	State, Stearns	7.125
563788352	State, Stearns	7.125
563788353	State, Stearns, Sauk Centre	7.625
563788354	State, Stearns, Sauk Centre	7.625
563788355	State, Stearns	7.125
563788356	State, Stearns	7.125
563788357	State, Stearns, Sauk Centre	7.625
563788358	State, Stearns	7.125
563788366	State, Stearns	7.125
563788367	State, Stearns, Sauk Centre	7.625
563788370	State, Stearns, Sauk Centre	7.625
563788371	State, Stearns	7.125
563788372	State, Stearns, Sauk Centre	7.625
563788373	State, Stearns	7.125
563788374	State, Stearns, Sauk Centre	7.625
563788375	State, Stearns, Sauk Centre	7.625
563788376	State, Stearns	7.125
563788377	State, Stearns, Sauk Centre	7.625
563788379	State, Stearns, Sauk Centre	7.625
563788380	State, Stearns	7.125
563788386	State, Stearns	7.125
563788387	State, Stearns, Sauk Centre	7.625
563788388	State, Stearns	7.125
563788389	State, Stearns, Sauk Centre	7.625
563788391	State, Stearns, Sauk Centre	7.625
563788392	State, Stearns	7.125
563788393	State, Stearns	7.125
563788394	State, Stearns, Sauk Centre	7.625
563788395	State, Stearns	7.125
563788396	State, Stearns	7.125
563788397	State, Stearns, Sauk Centre	7.625
563788400	State, Stearns	7.125
563788407	State, Stearns	7.125
563788408	State, Stearns, Sauk Centre	7.625
563788409	State, Stearns	7.125
563788900	State, Stearns	7.125
563789138	State, Stearns, Sauk Centre	7.625
563789349	State, Stearns, Sauk Centre	7.625
563789400	State, Stearns	7.125
563789630	State, Stearns, Sauk Centre	7.625
563789999	State, Stearns, Sauk Centre	7.625
563790001	State. Benton County Transit, St Cloud Area	7.875
563790038	State. Benton County Transit, St Cloud Area	7.875
563790039	State. Benton County Transit	7.375
563790040	State. Benton County Transit	7.375
563790041	State. Benton County Transit, St Cloud Area	7.875
563791597	State. Benton County Transit, St Cloud Area	7.875
563791601	State, Stearns, St Cloud Area	7.625
563791602	State. Benton County Transit, St Cloud Area	7.875
563791625	State. Benton County Transit, St Cloud Area	7.875
563791626	State, Stearns, St Cloud Area	7.625
563791627	State. Benton County Transit, St Cloud Area	7.875
563791634	State. Benton County Transit, St Cloud Area	7.875
563791635	State, Stearns, St Cloud Area	7.625
563791636	State, Stearns, St Cloud Area	7.625
563791637	State. Benton County Transit, St Cloud Area	7.875
563792002	State. Benton County Transit, St Cloud Area	7.875
563792003	State. Benton County Transit	7.375
563792004	State. Benton County Transit, St Cloud Area	7.875
563792379	State. Benton County Transit, St Cloud Area	7.875
563792380	State. Benton County Transit	7.375
563792381	State. Benton County Transit, St Cloud Area	7.875
563792382	State. Benton County Transit	7.375
563792400	State. Benton County Transit, St Cloud Area	7.875
563792600	State. Benton County Transit, St Cloud Area	7.875
563792602	State. Benton County Transit	7.375
563792603	State. Benton County Transit, St Cloud Area	7.875
563792794	State. Benton County Transit, St Cloud Area	7.875
563792795	State. Benton County Transit	7.375
563792796	State. Benton County Transit	7.375
